month,nominal_million_credits
2291-02,45128.800
2291-03,45103.400
2291-04,45239.600
2291-05,45215.800
2291-06,45348.800
2291-07,45269.000
2291-08,45381.200
2291-09,45459.800
2291-10,45429.600
2291-11,45562.600
2291-12,45537.200
2292-01,45619.000
2292-02,45668.800
2292-03,45643.400
2292-04,45779.600
2292-05,45755.800
2292-06,45888.800
2292-07,45809.000
2292-08,45921.200
2292-09,45999.800
2292-10,45969.600
2292-11,46102.600
2292-12,46077.200
2293-01,46159.000
2293-02,46208.800
2293-03,46183.400
2293-04,46319.600
2293-05,46295.800
2293-06,46428.800
2293-07,46349.000
2293-08,46461.200
2293-09,46539.800
2293-10,46509.600
2293-11,46642.600
2293-12,46617.200
2294-01,46699.000
2294-02,46748.800
2294-03,46723.400
2294-04,46859.600
2294-05,46835.800
2294-06,46968.800
2294-07,46889.000
2294-08,47001.200
2294-09,47079.800
2294-10,47049.600
2294-11,47182.600
2294-12,47157.200
2295-01,47239.000
