month,nominal_million_credits
2291-02,6020.000
2291-03,6034.980
2291-04,6028.180
2291-05,6050.640
2291-06,6038.340
2291-07,6055.740
2291-08,6071.820
2291-09,6062.160
2291-10,6076.920
2291-11,6067.920
2291-12,6091.480
2292-01,6092.380
2292-02,6096.800
2292-03,6111.780
2292-04,6104.980
2292-05,6127.440
2292-06,6115.140
2292-07,6132.540
2292-08,6148.620
2292-09,6138.960
2292-10,6153.720
2292-11,6144.720
2292-12,6168.280
2293-01,6169.180
2293-02,6173.600
2293-03,6188.580
2293-04,6181.780
2293-05,6204.240
2293-06,6191.940
2293-07,6209.340
2293-08,6225.420
2293-09,6215.760
2293-10,6230.520
2293-11,6221.520
2293-12,6245.080
2294-01,6245.980
2294-02,6250.400
2294-03,6265.380
2294-04,6258.580
2294-05,6281.040
2294-06,6268.740
2294-07,6286.140
2294-08,6302.220
2294-09,6292.560
2294-10,6307.320
2294-11,6298.320
2294-12,6321.880
2295-01,6322.780
