month,nominal_million_credits
2291-02,48200.000
2291-03,48312.200
2291-04,48246.200
2291-05,48419.600
2291-06,48308.600
2291-07,48440.600
2291-08,48561.800
2291-09,48472.400
2291-10,48582.800
2291-11,48498.800
2291-12,48681.200
2292-01,48678.200
2292-02,48704.000
2292-03,48816.200
2292-04,48750.200
2292-05,48923.600
2292-06,48812.600
2292-07,48944.600
2292-08,49065.800
2292-09,48976.400
2292-10,49086.800
2292-11,49002.800
2292-12,49185.200
2293-01,49182.200
2293-02,49208.000
2293-03,49320.200
2293-04,49254.200
2293-05,49427.600
2293-06,49316.600
2293-07,49448.600
2293-08,49569.800
2293-09,49480.400
2293-10,49590.800
2293-11,49506.800
2293-12,49689.200
2294-01,49686.200
2294-02,49712.000
2294-03,49824.200
2294-04,49758.200
2294-05,49931.600
2294-06,49820.600
2294-07,49952.600
2294-08,50073.800
2294-09,49984.400
2294-10,50094.800
2294-11,50010.800
2294-12,50193.200
2295-01,50190.200
